Date,Open,High,Low,Close,Adj Close,Volume
10/21/2010,34.200001,34.490002,34.009998,34.220001,17.887547,285340
10/22/2010,33.599998,34.75,33.200001,34.189999,17.871862,177935
10/25/2010,34.75,35.009998,34.200001,34.43,17.99732,398190
10/26/2010,34.599998,34.669998,33.970001,34.290001,17.924139,223985
10/27/2010,33.529999,34.970001,33.529999,34.25,17.903229,464810
10/28/2010,33.630001,34.599998,33.049999,33.360001,17.438005,491765
10/29/2010,34,34.200001,32.48,32.700001,17.093008,434575
11/1/2010,32.91,33.299999,32,32.09,16.774151,1506670
11/2/2010,31.799999,32.549999,31.799999,31.99,16.721878,244895
11/3/2010,33.599998,33.599998,31.040001,31.92,16.685287,1246260
11/4/2010,32.59,32.59,31.84,32.040001,16.748014,342620
11/8/2010,32.360001,32.380001,31.6,31.84,16.643469,327260
11/9/2010,31.450001,32.93,31.049999,31.66,16.549379,3835170
11/10/2010,31.25,34.130001,31.25,32.970001,17.234146,6847940
11/11/2010,32.889999,33.75,32.599998,32.860001,17.176649,1414645
11/12/2010,32.200001,32.790001,31.450001,31.639999,16.538925,416890
11/15/2010,32.290001,32.290001,31.1,31.360001,16.392565,190050
11/16/2010,31.65,31.9,30.799999,31.02,16.214838,272035
11/18/2010,31.02,31.299999,29.719999,30.190001,15.78098,229800
11/19/2010,30.25,30.34,29.200001,29.459999,15.399392,191455
11/22/2010,29.6,29.99,28.9,29.120001,15.221667,229675
11/23/2010,29.15,29.76,28.5,28.940001,15.127578,256315
11/24/2010,29,30.09,28.629999,29.209999,15.268711,521225
11/25/2010,29.299999,29.76,28.07,28.42,14.85576,231275
11/26/2010,28.43,29.200001,26.98,28.360001,14.824398,548055
11/29/2010,28.360001,29.74,28,28.65,14.975986,1400645
11/30/2010,28.6,29.440001,28.110001,29.02,15.169394,1330110
12/1/2010,29.42,29.74,29.18,29.450001,15.394165,172230
12/2/2010,29.709999,30.6,29.51,29.82,15.587572,392305
12/3/2010,29.68,29.809999,29.01,29.08,15.200755,1163865
12/6/2010,29.4,29.76,28.799999,29.040001,15.179849,180890
12/7/2010,28.58,28.6,27.4,28.059999,14.667581,309630
12/8/2010,28,28.959999,27.610001,27.879999,14.573492,185760
12/9/2010,28.120001,28.200001,26.82,27,14.113494,148785
12/10/2010,27,27.799999,26.85,27.42,14.333039,145615
12/13/2010,27.5,28,27.25,27.93,14.599626,1159375
12/14/2010,27.809999,28.139999,27.700001,27.85,14.55781,91835
12/15/2010,28,28.370001,27.4,27.68,14.468946,183260
12/16/2010,27.82,28.9,27.290001,27.51,14.380084,571475
12/20/2010,28,28.360001,27.110001,27.27,14.254632,123405
12/21/2010,27.42,27.9,26.9,26.959999,14.092587,383990
12/22/2010,27.4,27.549999,26.84,26.959999,14.092587,209270
12/23/2010,27,27.360001,26.82,26.9,14.061224,259215
12/24/2010,28.799999,28.799999,27.040001,27.23,14.233721,3139400
12/27/2010,27.49,27.49,26.700001,26.82,14.019404,414805
12/28/2010,27.1,27.1,26.5,26.6,13.904407,225110
12/29/2010,26.610001,27.09,26.459999,26.57,13.888725,654630
12/30/2010,26.940001,26.940001,26.49,26.700001,13.956677,173550
12/31/2010,27.09,27.09,26.690001,26.889999,14.055997,239355
1/3/2011,26.91,27.799999,26.91,27.24,14.238949,680560
1/4/2011,27.24,27.860001,27.209999,27.32,14.280765,1469105
1/5/2011,27.49,27.49,26.52,26.58,13.893951,611385
1/6/2011,26.76,26.879999,26.26,26.360001,13.778953,263030
1/7/2011,26.4,26.540001,25.610001,25.73,13.449638,351555
1/10/2011,25.73,25.959999,24.9,24.969999,13.052368,270870
1/11/2011,25.200001,25.4,24.030001,24.35,12.728283,251765
1/12/2011,24.459999,24.790001,24.219999,24.700001,12.911237,203875
1/13/2011,24.84,25.48,24.84,24.940001,13.036689,265820
1/14/2011,25,25.15,24.41,24.610001,12.86419,182705
1/17/2011,24.43,24.879999,24.030001,24.459999,12.78578,583780
1/18/2011,25,25,24.24,24.379999,12.743963,95500
1/19/2011,24.32,24.48,24,24.09,12.592375,228540
1/20/2011,23.879999,24.200001,23.059999,24.02,12.555784,355905
1/21/2011,23.299999,24.34,23.299999,23.93,12.508739,156490
1/24/2011,23.5,24.370001,23.4,23.969999,12.529647,175780
1/25/2011,23.799999,24.280001,23.4,23.51,12.289196,779315
1/27/2011,23.4,23.73,23,23.120001,12.085333,175790
1/28/2011,23.4,23.4,21.440001,21.66,11.32216,537000
1/31/2011,21,21.799999,20.41,20.530001,10.731483,885275
2/1/2011,20.799999,20.85,19.02,19.07,9.968308,1645695
2/2/2011,19.379999,20.299999,19.200001,19.290001,10.083307,1477675
2/3/2011,19.200001,19.809999,19.040001,19.33,10.104218,1262545
2/4/2011,19.530001,19.58,18.6,19.139999,10.004899,1004590
2/7/2011,18.82,19.200001,18.1,18.280001,9.55536,497575
2/8/2011,18.4,18.4,17.049999,17.15,8.964683,983860
2/9/2011,17.059999,17.059999,16,16.219999,8.478551,952145
2/10/2011,16.1,16.290001,15.62,16.02,8.374007,762430
2/11/2011,16.110001,16.559999,15.48,16.27,8.504687,1590890
2/14/2011,16.5,17.58,16.200001,17.309999,9.048318,1199135
2/15/2011,17.58,18.48,17.139999,18.200001,9.513541,836700
2/16/2011,18.200001,18.52,17.65,17.790001,9.299225,514960
2/17/2011,18.200001,18.200001,17.549999,17.9,9.356724,1029205
2/18/2011,17.799999,18.25,17.129999,17.459999,9.126726,424680
2/21/2011,17.25,17.77,17.040001,17.42,9.105818,243515
2/22/2011,17.1,17.58,17.030001,17.219999,9.001274,103955
2/23/2011,17.200001,17.51,17.059999,17.18,8.980365,130760
2/24/2011,17.1,17.34,16.549999,16.950001,8.860138,1039850
2/25/2011,17,17.299999,16.799999,17.16,8.96991,295745
2/28/2011,17.799999,17.91,17.059999,17.4,9.095363,229845
3/1/2011,17.860001,18,17.309999,17.58,9.189454,687995
3/3/2011,17.209999,17.75,17.209999,17.48,9.13718,180670
3/4/2011,17.469999,17.67,17.059999,17.09,8.93332,254455
3/7/2011,17,17,16.459999,16.52,8.635368,163935
3/8/2011,16.52,17.290001,16.52,17.040001,8.907186,510840
3/9/2011,17.309999,17.49,16.959999,17.23,9.0065,764505
3/10/2011,17.26,18.200001,17.030001,17.15,8.964683,542370
3/11/2011,17.190001,17.9,16.85,16.940001,8.854912,1222110
3/14/2011,17.200001,17.92,16.83,17.75,9.278316,3064330
3/15/2011,17,20.139999,16.799999,19.200001,10.036263,16043670
3/16/2011,19.43,20.18,19.200001,19.34,10.109445,6012945
3/17/2011,19.299999,19.75,18.6,18.780001,9.816721,1428790
3/18/2011,19.1,19.6,18.08,18.16,9.492632,951290
3/21/2011,18.4,18.799999,17.639999,17.76,9.283544,857995
3/22/2011,17.799999,18.459999,17.200001,17.93,9.372406,1236085
3/23/2011,18,18.280001,17.76,17.969999,9.393315,877310
3/24/2011,18.18,18.370001,17.92,18.190001,9.508314,749730
3/25/2011,18.379999,18.379999,18.030001,18.110001,9.466496,385715
3/28/2011,18.110001,18.9,18,18.360001,9.597176,1482395
3/29/2011,18.610001,18.700001,18.379999,18.530001,9.686039,633930
3/30/2011,18.799999,18.879999,18.32,18.469999,9.654675,835815
3/31/2011,18.68,19.18,18.51,18.780001,9.816721,881465
4/1/2011,18.98,19.24,18.620001,18.969999,9.916037,643500
4/4/2011,19.4,20.09,19,19.58,10.234897,1466325
4/5/2011,19.4,21.01,19.4,20.73,10.836028,1572860
4/6/2011,21.5,21.68,20.719999,20.84,10.893529,1674795
4/7/2011,20.85,21.700001,20.700001,21.24,11.102616,2643635
4/8/2011,21.379999,21.6,20.26,20.66,10.799437,1464405
4/11/2011,20.559999,20.66,19.799999,19.860001,10.381259,612380
4/13/2011,19.860001,20.16,19.49,20.07,10.491032,509185
4/15/2011,20.440001,20.700001,19.92,20.059999,10.485804,434095
4/18/2011,20.200001,20.85,19.719999,19.91,10.407396,861230
4/19/2011,19.84,20.59,19.76,19.98,10.443986,1077830
4/20/2011,20.540001,20.559999,20.1,20.280001,10.600802,531890
4/21/2011,20.360001,21.34,20.26,20.969999,10.96148,2729305
4/25/2011,21.17,21.26,20.559999,20.68,10.809892,848830
4/26/2011,20.610001,20.66,20,20.209999,10.564211,875835
4/27/2011,20.4,20.5,19.959999,20.02,10.464894,478975
4/28/2011,20.040001,20.190001,19.67,19.74,10.318534,373800
4/29/2011,19.82,19.98,18.9,19.110001,9.989218,622450
5/2/2011,19.360001,19.360001,18.68,18.75,9.801039,355770
5/3/2011,19.16,20,18.32,18.42,9.628539,575095
5/4/2011,18.6,19,17.6,18.57,9.706947,478210
5/5/2011,18.9,19.139999,18.24,18.360001,9.597176,766065
5/6/2011,18.549999,18.799999,18.4,18.49,9.66513,432110
5/9/2011,18.799999,19,18.16,18.33,9.581496,705400
5/10/2011,18.4,18.4,18.07,18.18,9.503085,231525
5/11/2011,19,19.73,18.299999,18.639999,9.743539,859920
5/12/2011,19.200001,19.200001,17.48,17.610001,9.205135,1314110
5/13/2011,17.98,18.6,17.629999,18.01,9.414224,667710
5/16/2011,17.82,17.98,17.77,17.879999,9.34627,172190
5/17/2011,17.959999,17.959999,17.41,17.58,9.189454,166480
5/18/2011,17.459999,17.77,17.459999,17.629999,9.21559,306335
5/19/2011,17.700001,17.99,17.549999,17.59,9.19468,123815
5/20/2011,17.49,17.700001,17.32,17.440001,9.116272,135970
5/23/2011,17.5,17.6,17.24,17.48,9.13718,158920
5/24/2011,17.700001,17.959999,17.41,17.709999,9.257407,384510
5/25/2011,17.49,18.68,17.49,18.25,9.539677,847955
5/26/2011,18.26,19.17,18.26,19.030001,9.9474,703885
5/27/2011,19.1,19.459999,18.82,19.379999,10.130353,387735
5/30/2011,19.030001,19.58,19.030001,19.43,10.15649,122535
5/31/2011,19.4,19.67,19.370001,19.49,10.187851,132740
6/1/2011,19.68,20.120001,19.360001,19.74,10.318534,311785
6/2/2011,19.67,20.4,19.43,19.809999,10.355123,482950
6/3/2011,19.809999,20.879999,19.809999,19.98,10.443986,2176015
6/6/2011,19.98,20.15,19.629999,19.799999,10.349895,373935
6/7/2011,19.83,20.120001,19.700001,19.9,10.402166,247010
6/8/2011,20.09,20.280001,19.879999,19.969999,10.438759,312595
6/9/2011,19.9,20.040001,19.559999,19.690001,10.292397,136315
6/10/2011,19.690001,19.9,19.6,19.780001,10.339442,228580
6/13/2011,19.709999,19.85,19.48,19.57,10.22967,76485
6/14/2011,19.6,19.83,19.6,19.629999,10.261033,60160
6/15/2011,19.74,19.85,19.33,19.42,10.151261,238840
6/16/2011,19.209999,19.959999,19.209999,19.799999,10.349895,384005
6/17/2011,19.9,19.9,19.34,19.440001,10.161716,156040
6/20/2011,19.4,19.459999,18.4,18.76,9.806265,136440
6/21/2011,18.76,19.6,18.5,18.6,9.72263,169915
6/22/2011,18.620001,18.75,18.219999,18.299999,9.565812,135050
6/23/2011,18.120001,18.530001,18.02,18.219999,9.523994,65025
6/24/2011,18.01,18.76,18.01,18.450001,9.644222,118675
6/27/2011,18.4,19.200001,18.4,19.09,9.978764,285985
6/28/2011,19.1,20.879999,19.049999,20.299999,10.611257,6187400
6/29/2011,20.280001,20.65,19.620001,19.73,10.313306,4199150
6/30/2011,19.9,19.9,19.08,19.16,10.015354,1162000
7/1/2011,19.200001,20.48,19.139999,20.32,10.621713,1911560
7/4/2011,20.48,20.799999,19.74,20.059999,10.485804,2697065
7/5/2011,20.09,20.43,19.9,20.280001,10.600802,1682200
7/6/2011,20.040001,20.780001,19.959999,20.08,10.496258,1073125
7/7/2011,20.17,20.459999,20.049999,20.290001,10.60603,455655
7/8/2011,20.4,21.16,20.200001,20.389999,10.658302,2471725
7/11/2011,20.4,21,20.299999,20.780001,10.862163,758815
7/12/2011,20.4,21.110001,20.16,20.43,10.679211,4501945
7/13/2011,20.5,21,20.450001,20.84,10.893529,824965
7/14/2011,20.799999,21,20.57,20.85,10.898754,804095
7/15/2011,20.879999,21.66,20.459999,21.209999,11.086933,3285620
7/18/2011,21.549999,22.1,21.4,21.84,11.416249,2256330
7/19/2011,22,22.360001,21.879999,22.17,11.588747,1763010
7/20/2011,22.4,22.540001,21.860001,21.969999,11.484202,806445
7/21/2011,22.200001,22.290001,21.620001,21.780001,11.384887,932770
7/22/2011,21.48,21.68,21.1,21.32,12.924693,546850
7/25/2011,21.32,21.889999,21.219999,21.6,13.094436,611265
7/26/2011,21.620001,21.98,21.42,21.5,13.033814,625445
7/27/2011,21.58,21.68,21.280001,21.5,13.033814,290170
7/28/2011,21.42,21.799999,21.129999,21.25,12.882258,465370
7/29/2011,21.219999,21.43,20.280001,20.67,12.530649,1017755
8/1/2011,20.4,20.4,19.5,19.629999,11.900176,552625
8/2/2011,19.4,19.780001,19.200001,19.370001,11.742558,213070
8/3/2011,19.17,20.01,18.610001,19.799999,12.003233,421295
8/4/2011,19.799999,20.799999,19.459999,19.66,11.918363,777730
8/5/2011,19,19.780001,18.25,19.26,11.675873,455595
8/8/2011,19.059999,19.280001,18.030001,19.110001,11.584941,431720
8/9/2011,18.6,19.139999,18.4,18.59,11.269704,403890
8/10/2011,18.99,19.799999,18.860001,18.99,11.512193,142485
8/11/2011,19,19.08,18.5,18.65,11.306077,259135
8/12/2011,19.16,19.16,18.35,18.58,11.26364,383400
8/16/2011,18.459999,18.58,17.299999,17.57,10.651356,384305
8/17/2011,17.76,17.76,17.24,17.52,10.621043,167405
8/18/2011,17.620001,17.879999,16.67,16.799999,10.184561,143230
8/19/2011,16.040001,17,15.8,16.860001,10.220937,505890
8/22/2011,17.26,17.98,16.299999,17.42,10.560421,319035
8/23/2011,17.799999,18.200001,17.299999,17.969999,10.893844,457840
8/24/2011,18,18.4,17.450001,17.690001,10.724102,112595
8/25/2011,17.889999,17.98,17.120001,17.77,10.7726,179820
8/26/2011,17.940001,18,17.049999,17.190001,10.420989,212395
